Decoding...
Instantiating...
Executing...

Exit code: 0
Memory peak usage: 323157384


i32.rem_u: 5701 1 5701.000000
i64.rot_l: 10370 1 10370.000000
i64.eq: 4489 2 2244.500000
f64.gt: 5221 2 2610.500000
f64.mul: 5541 2 2770.500000
f64.load: 16933 2 8466.500000
f64.add: 7524 4 1881.000000
f64.convert_i32_s: 8306 4 2076.500000
i64.extend_i32_s: 620298 16 38768.625000
i64.sub: 764751 16 47796.937500
i64.lt_u: 546810 17 32165.294118
f64.store: 856157 24 35673.208333
f64.const: 867055 26 33348.269231
i32.wrap_i64: 655283 32 20477.593750
i64.eqz: 931444 42 22177.238095
i64.or: 743727 46 16167.978261
i64.gt_u: 808636 46 17579.043478
i64.shl: 1329100 47 28278.723404
i32.le_s: 960518 49 19602.408163
i64.xor: 951714 62 15350.225806
i64.ne: 859975 70 12285.357143
i32.extend8_s: 1257605 78 16123.141026
i32.load16_s: 1179917 81 14566.876543
memory.size: 1188311 130 9140.853846
i32.ge_s: 1004615 134 7497.126866
i32.ctz: 1636728 155 10559.535484
i64.and: 864704 226 3826.123894
i64.shr_u: 778289 239 3256.439331
i32.extend16_s: 948276 256 3704.203125
i32.div_u: 1543977 284 5436.538732
i64.add: 940281 323 2911.086687
i32.load16_u: 1242068 426 2915.652582
i64.extend_i32_u: 1838731 592 3105.964527
i32.gt_s: 1446665 613 2359.975530
i64.mul: 1678097 842 1992.989311
i32.store16: 3080481 1998 1541.782282
i32.lt_s: 2963703 2161 1371.449792
i32.rot_l: 3197716 2203 1451.527916
i32.clz: 3566354 5130 695.195712
br_table: 4148587 6061 684.472364
i64.const: 3586867 9965 359.946513
call_indirect: 8260356159 12643 653354.121569
i64.load: 8942297 12927 691.753462
drop: 5932049 15033 394.601809
i32.xor: 13407804 18826 712.196112
return: 5390830 19633 274.580044
i32.le_u: 12099658 25404 476.289482
global.get: 9850207 25951 379.569458
select: 13782824 29114 473.408807
i32.ge_u: 16817113 33468 502.483357
i32.store8: 15325568 42849 357.664543
loop: 8149939908 44110 184763.997007
global.set: 17808131 51161 348.080198
i32.shr_u: 19805764 51699 383.097623
i32.load8_s: 16840481 54242 310.469396
i32.sub: 22559546 64081 352.047346
i32.eq: 24626271 66100 372.560832
br: 14517941 66911 216.973906
i32.mul: 26731971 68122 392.413185
call: 30719408476 70579 435248.565097
i32.or: 39125198 71541 546.891964
i32.shl: 35726900 86408 413.467503
i32.ne: 29138684 92660 314.468854
i32.lt_u: 38166252 101169 377.252439
i32.gt_u: 45741244 117828 388.203517
i32.load8_u: 50951062 159431 319.580646
i32.eqz: 52898379 198278 266.788948
i32.and: 98541596 249884 394.349362
i64.store: 96469170 306534 314.709527
i32.store: 110435403 362806 304.392438
local.set: 108107180 439632 245.903801
i32.load: 170144415 564315 301.506100
block: 65712228409 723450 90831.748440
br_if: 151711004 732305 207.169149
local.tee: 164164797 758661 216.387553
i32.add: 206191783 812466 253.785122
i32.const: 259707657 1589717 163.367226
local.get: 541570304 3135728 172.709592
